N,P,K,temperature,humidity,pH,crop,Crop_N_kg_per_ha,Crop_P2O5_kg_per_ha,Crop_K2O_kg_per_ha,N_dosage_kg_per_ha,P2O5_dosage_kg_per_ha,K2O_dosage_kg_per_ha,Dosage_Notes,dosage
145,70,100,20,60.41,6.5,sugarcane,180,60,120,200,70,120,Standard Application,"N: 200.00 kg/ha, P2O5: 70.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
105,40,50,15,60.41,7,wheat,120,60,40,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
34,38,31,35.37775595,45.58110023,6.454045329,mango,120,60,60,250,150,250,Standard Application,"N: 250.00 kg/ha, P2O5: 150.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
66,58,35,23.5643831,79.46283115,7.321619041,jute,100,60,60,80,40,40,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
150,60,60,20,60.41,6.5,sugarcane,180,60,120,200,70,120,Standard Application,"N: 200.00 kg/ha, P2O5: 70.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
16,73,19,18.41645629,34.80541039,4.684079249,pigeonpeas,114.26962312269764,57.27897421365826,62.18192122414282,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
87.21386288491229,67.13927021735229,48.22777853317108,30.14235875769519,58.20894424696858,4.820523838011286,spinach,139.4275062,62.017231068646105,65.81206911,140,60,60,Side-dressing (Heavy feeder),"N: 140.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Heavy feeder)"
60,50,50,20,60.41,6,turmeric,120,60,60,150,60,120,Standard Application,"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
90,55,130,30,60.41,7.5,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
11,28.031,141,24.743,70.54,5.989,ginger,83.591,40,27.329,100,75,125,Standard Application,"N: 100.00 kg/ha, P2O5: 75.00 kg/ha, K2O: 125.00 kg/ha. Notes: Standard Application"
150,61.614,43,29.121,47.599,5.922,lettuce,166.24,44.441,49.431,120,60,60,Side-dressing (Medium-heavy feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Medium-heavy feeder)"
8,15,33,28.97318719,98.09861043,5.50158009,coconut,120,60,60,300,150,300,Standard Application,"N: 500.00 kg/ha, P2O5: 320.00 kg/ha, K2O: 1200.00 kg/ha. Notes: Standard Application"
36.95443574464624,32.11648259891716,10.79532374377229,35.31595746929065,59.49525574653838,6.770202786147278,groundnut,19.781250222879347,60.80570026610605,41.51522853235488,20,73.44103934101342,51.77935671487999,Standard Application,"N: 0.00 kg/ha, P2O5: 73.44 kg/ha, K2O: 51.78 kg/ha. Notes: Standard Application"
40,49,17,31.02215872,45.89239456,6.68727523,mothbeans,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
26.10427294244606,40.05733989719813,24.75823817,23.818569851629952,60.422590903731255,6.523520729311231,gram,38.67354663973204,38.95051791258842,17.266674652826495,23.30454683424221,73.68995571038865,10,Standard Application,"N: 23.30 kg/ha, P2O5: 73.69 kg/ha, K2O: 2.63 kg/ha. Notes: Standard Application"
81,25,49,29.86895762,93.25103208,6.076459669,muskmelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
74.42140711933982,74.37425831334465,0,29.11802842094582,63.7612127,5.636520778,turmeric,124.72871819714156,58.90485380269028,62.766961347381816,137.87875252325176,57.91644813614856,55.44277939831872,Standard Application,"N: 137.88 kg/ha, P2O5: 57.92 kg/ha, K2O: 55.44 kg/ha. Notes: Standard Application"
125,97,250,28.76,60.41,7.2,ragi,80,40,40,50,40,25,Standard Application,"N: 50.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 25.00 kg/ha. Notes: Standard Application"
42.96604476895889,44.51652775885737,51.88613470772427,38.258101626809605,96.68557053209749,6.563275467553665,papaya,100.86063352093494,59.879438234153646,62.17979771,240.13193127106285,150,300,Standard Application,"N: 240.13 kg/ha, P2O5: 257.58 kg/ha, K2O: 495.48 kg/ha. Notes: Standard Application"
69,46.804,1,30.128,59.335,5.878,urad,90.825,57.181,58.211,20,40,20,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
63.62119749044633,8.309613334101146,51.96705091073219,35.089109283588584,61.66678672701271,6.466145116321655,ragi,126.65045144919767,56.12747047334503,53.71090007814579,49.03957285098739,42.05691916795745,18.851370788658507,Standard Application,"N: 49.04 kg/ha, P2O5: 42.06 kg/ha, K2O: 18.85 kg/ha. Notes: Standard Application"
12,71,19,24.91079638,60.71367427,7.142611056,lentil,114.26962312269764,57.27897421365826,62.18192122414282,30,60,30,Standard Application,"N: 30.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 30.00 kg/ha. Notes: Standard Application"
13,126,204,23.1094265,92.79630809,6.383180271,apple,120,60,60,150,75,150,Standard Application,"N: 150.00 kg/ha, P2O5: 75.00 kg/ha, K2O: 150.00 kg/ha. Notes: Standard Application"
100,17,48,29.72791119,94.29753295,6.367800632,muskmelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
45,30,20,30,60.41,6.5,tur,20,40,20,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
56.58295550832854,19.983063297809032,11.742677626586756,21.733350980058944,59.49297395604432,5.625430189241506,masoor,13.144552374688653,39.365819685811005,20.59188676979552,20,55.46507279947279,10,Standard Application,"N: 0.00 kg/ha, P2O5: 55.47 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
60.25067574557422,39.66294265000576,20.32174326799317,34.63705403317744,60.18942776968253,7.083432187548351,moong,17.061128236479462,31.17899830109745,14.11898210327668,20,39.697107908934015,22.370623781668783,Standard Application,"N: 13.47 kg/ha, P2O5: 39.70 kg/ha, K2O: 22.37 kg/ha. Notes: Standard Application"
55.89227920925115,57.94866134569035,50.15098882138197,30.10710458274907,60.31532966,6.502746764768561,turmeric,121.86003104386826,60.83369810090225,61.549980858699165,155.3143604186728,64.93341315924765,131.48833286240514,Standard Application,"N: 155.31 kg/ha, P2O5: 64.93 kg/ha, K2O: 131.49 kg/ha. Notes: Standard Application"
14,128,205,22.60800988,94.58900601,6.226289556,apple,120,60,60,150,75,150,Standard Application,"N: 150.00 kg/ha, P2O5: 75.00 kg/ha, K2O: 150.00 kg/ha. Notes: Standard Application"
35,48,15,27.10818093,87.4512669,6.981758362,mungbean,114.26962312269764,57.27897421365826,62.18192122414282,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
150,75.519,16,27.733,47.599,7.306,banana,81.992,55.701,120,300,130,300,Standard Application,"N: 400.00 kg/ha, P2O5: 130.00 kg/ha, K2O: 600.00 kg/ha. Notes: Standard Application"
30,50,20,25,60.41,6,tur,20,40,20,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
8,40.491,87,32.69,66.259,6.531,ginger,65.216,67.939,95.951,100,75,125,Standard Application,"N: 100.00 kg/ha, P2O5: 75.00 kg/ha, K2O: 125.00 kg/ha. Notes: Standard Application"
16.372923937807734,47.63636402689089,27.68634616689717,31.20772986863467,46.71863755170228,9.496310199,mothbeans,18.76038616537204,29.374052575592533,21.163338105166844,20,37.50510884421272,25.571916688002464,Standard Application,"N: 18.06 kg/ha, P2O5: 37.51 kg/ha, K2O: 25.57 kg/ha. Notes: Standard Application"
70.09732142828341,37.596621661543615,39.47014574489998,27.43682866895664,74.85101263883001,7.031471958327916,watermelon,108.42470998100984,59.69313494861113,58.82069303239712,114.0814402052082,32.89188351730851,166.4399680782961,Standard Application,"N: 114.08 kg/ha, P2O5: 32.89 kg/ha, K2O: 166.44 kg/ha. Notes: Standard Application"
113,6,52,27.76317235,90.35567642,6.740983646,muskmelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
27.64108039239845,20.08656642277945,16.65635066554282,32.84724838591616,90.59014088751236,6.405550967219464,orange,118.59835541110196,60.63442023118064,64.64540026853633,294.1141159348275,149.03968697346463,275.8753141962831,Standard Application,"N: 294.11 kg/ha, P2O5: 149.04 kg/ha, K2O: 275.88 kg/ha. Notes: Standard Application"
20,55,30,30,60.41,6,groundnut,30,60,40,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
66.22811439621634,50.68218507761975,75.75843545371286,40.22721096,86.08032005975542,6.860531933754536,papaya,98.13993619655372,60.16457195030699,54.433976654903546,258.39648080387497,150,300,Standard Application,"N: 258.40 kg/ha, P2O5: 274.15 kg/ha, K2O: 452.07 kg/ha. Notes: Standard Application"
27.328726231422287,26.09764549022252,70.62675104668071,26.023486062373404,68.96701209928129,7.502224216434271,jowar,79.98207716,40.305536697051046,43.62876724,44.52537740362187,41.20916763649018,66.29714082401696,Standard Application,"N: 44.53 kg/ha, P2O5: 41.21 kg/ha, K2O: 66.30 kg/ha. Notes: Standard Application"
35.287844768248554,64.61978265577946,84.17967894222315,23.99403802413419,62.64343701584921,5.354216031986102,ginger,107.44326081420114,55.27812988643359,61.086966336246206,117.75810158649344,48.33511084153311,203.9979491583407,Standard Application,"N: 117.76 kg/ha, P2O5: 48.34 kg/ha, K2O: 204.00 kg/ha. Notes: Standard Application"
75,40,50,25,60.41,7,jowar,80,40,40,80,40,40,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
60.59888151075485,20.68151518440967,22.847542086463235,25.01811390896114,98.13009233668664,7.472907167896783,mungbean,95.24216334061548,58.12393793184462,84.20512142033232,20,48.83816477418581,49.59087176745451,Standard Application,"N: 0.00 kg/ha, P2O5: 48.84 kg/ha, K2O: 49.59 kg/ha. Notes: Standard Application"
0,17.194019101125622,202.02048699574496,30.01222163561061,68.23213457294744,6.7641299265720365,cotton,159.5494655610111,47.46293101388179,64.36803618379231,89.29790918896012,83.70677384403675,75.48932929748584,Standard Application,"N: 89.30 kg/ha, P2O5: 83.71 kg/ha, K2O: 75.49 kg/ha. Notes: Standard Application"
103,47.235,36,30.527,49.464,5.669,lettuce,39.942,65.903,65.662,120,60,60,Side-dressing (Medium-heavy feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Medium-heavy feeder)"
45,20,20,20,60.41,5.5,tur,20,40,20,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
27,76,83,19.12829388,14.92241479,6.289614016,chickpea,114.26962312269764,57.27897421365826,62.18192122414282,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
27,43.863,151,18.178,47.599,6.015,cotton,105.663,53.669,75.55,120,60,60,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
72.41809776032834,52.55672780425203,95.99149564,24.721530531135866,47.17745307453546,5.942319496,jute,93.60831088379368,61.93795680738929,75.86783594982776,79.07408341559594,39.09096107156601,48.89247739,Standard Application,"N: 79.07 kg/ha, P2O5: 39.09 kg/ha, K2O: 48.89 kg/ha. Notes: Standard Application"
66.36079530497885,43.05172283140905,42.22308391817712,23.21063084153105,76.00589232571568,6.502765929946788,jute,101.34885707352582,60.22356883749466,59.45706159,75.01584328918314,35.35793842,46.346164872842735,Standard Application,"N: 75.02 kg/ha, P2O5: 35.36 kg/ha, K2O: 46.35 kg/ha. Notes: Standard Application"
91,41,37,24.48556447,83.20630007,6.132570523,jute,100,60,60,80,40,40,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
70,35,30,30,60.41,6.5,moong,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
20,60,35,20,60.41,6.5,groundnut,30,60,40,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
12.041527706903675,52.89390124692496,21.89761829,24.84863463899589,63.70898851974758,5.792221954606955,tur,8.271424456012445,33.02187721923856,19.226614814791127,83.51382796987643,54.30729067,10,Standard Application,"N: 83.51 kg/ha, P2O5: 54.31 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
61,9,144,19.238,76.002,7.111,lentil,133.319,51.39,72.933,30,60,30,Standard Application,"N: 30.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 30.00 kg/ha. Notes: Standard Application"
2.1447125560496847,77.71176640434093,27.69465627096699,24.87110192344305,21.65814041,5.615862374109144,kidneybeans,24.538991011410992,40.36678277284088,24.31493853300692,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
8,22.442,103,25.02,52.191,7.396,grapes,167.979,67.372,56.128,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
61,55.51,92,30.256,58.051,6.033,tur,87.08,51.076,90.824,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
150,43.86,1,27.504,70.258,6.537,sugarcane,118.901,47.271,87.825,200,70,120,Standard Application,"N: 200.00 kg/ha, P2O5: 70.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
82,13,52,27.11535046,94.86907886,6.442810053,muskmelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
81,24.593,126,32.755,82.626,6.242,grapes,169.121,57.716,49.325,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
122,30,97,28.76,60.41,6.7,mulberry,100,60,60,300,120,120,Standard Application,"N: 300.00 kg/ha, P2O5: 120.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
77.14245438211327,17.31584968439177,47.45409270707375,35.242414990157705,56.76192533034418,7.690477744898426,moong,5.424973603111429,33.77001764121973,21.071237743711016,20,22.92378550740957,10,Standard Application,"N: 18.91 kg/ha, P2O5: 22.92 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
105,50,45,30,60.41,7,kangkong,150,60,60,150,60,60,Side-dressing / Drenching (Heavy feeder),"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing / Drenching (Heavy feeder)"
145,80,181,28.76,60.41,6.1,pomegranate,100,60,60,250,125,250,Standard Application,"N: 250.00 kg/ha, P2O5: 125.00 kg/ha, K2O: 250.00 kg/ha. Notes: Standard Application"
118.14726187840076,5.018889006867323,54.400135159706366,25.46661494310912,84.20962567402725,6.062003978,watermelon,103.14798501883372,59.70027816719386,61.91100568780536,78.09668296,52.26523485391058,65.15827837799839,Standard Application,"N: 78.10 kg/ha, P2O5: 52.27 kg/ha, K2O: 65.16 kg/ha. Notes: Standard Application"
50.30240247885117,30.88937507399882,34.88763682924025,31.689432986379742,69.93928531204531,6.411034804373694,ginger,98.28557081461592,54.14682242943761,62.94728197042175,40.04479368130351,73.84303974661951,149.41698314577562,Standard Application,"N: 40.04 kg/ha, P2O5: 73.84 kg/ha, K2O: 149.42 kg/ha. Notes: Standard Application"
87,85,141,25.931,82.715,7.224,sugarcane,162.591,57.071,36.07,200,70,120,Standard Application,"N: 200.00 kg/ha, P2O5: 70.00 kg/ha, K2O: 120.00 kg/ha. Notes: Standard Application"
37.45290915898467,31.78506558889273,28.14911783951123,20.00669081410708,60.93341139655772,5.959018144435013,soybean,22.183087078636685,50.00887373015168,25.149646682697124,42.48322925417157,57.61240269085341,42.09631771067513,Standard Application,"N: 42.48 kg/ha, P2O5: 57.61 kg/ha, K2O: 42.10 kg/ha. Notes: Standard Application"
17.70718988805715,21.98246756,0,17.788022264955842,60.719700365836914,5.774653771534655,masoor,2.611235920604745,35.11521009537558,25.77860625875987,61.69414256949247,47.245612220506864,157.28514036431247,Standard Application,"N: 61.69 kg/ha, P2O5: 47.25 kg/ha, K2O: 157.29 kg/ha. Notes: Standard Application"
8,66.867,145,28.537,57.994,7.5,wheat,124.86,62.857,65.463,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
3.5238264284547576,50.2877676,0,20.198180550513893,57.926857749661714,6.6161222785457925,groundnut,26.47555620088736,57.417659165870994,38.49566814172421,38.528445914773776,100.30428065213428,101.99324051943168,Standard Application,"N: 38.53 kg/ha, P2O5: 100.30 kg/ha, K2O: 101.99 kg/ha. Notes: Standard Application"
80.12690468952484,25.10518645512505,0,23.69246252132932,63.57010013949311,5.744044233080597,moong,4.265892420613492,29.60347210562893,13.13110514507514,30.16015122,57.20149996835695,10,Standard Application,"N: 30.16 kg/ha, P2O5: 57.20 kg/ha, K2O: 2.07 kg/ha. Notes: Standard Application"
51.20900302796127,18.50545915933152,20.467298964270444,19.840521722722503,60.39237091529491,6.020076455964372,masoor,15.687299676310856,39.67154953038022,19.700325434306656,20,60.16825302,27.42550483269504,Standard Application,"N: 19.08 kg/ha, P2O5: 60.17 kg/ha, K2O: 27.43 kg/ha. Notes: Standard Application"
15.663091771271151,60.271249081340365,26.386568389176908,32.49862883957419,56.14068884611879,4.708552958207832,mothbeans,4.227881768896015,33.09258352293034,13.121000342509143,21.02359349046197,59.812503112517405,10,Standard Application,"N: 21.02 kg/ha, P2O5: 59.81 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
28.889349503831312,88.89047249,0.4671514624284825,19.315524383013344,21.92458788524793,5.765140204167329,kidneybeans,34.86366753578245,43.260769034796326,31.49406754513764,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
85.65052924,47.721719047661175,43.07829389126616,25.380938048154203,71.57635607998675,5.965594085897007,jute,100.05632308681092,59.02194676159299,59.59246667200937,87.38419360241438,39.25420480630839,55.16597767809443,Standard Application,"N: 87.38 kg/ha, P2O5: 39.25 kg/ha, K2O: 55.17 kg/ha. Notes: Standard Application"
35.766619646151725,24.194451061840216,12.982057970301105,17.941754248133105,89.81526150201425,7.050933318101262,orange,122.86107661824563,60.29120097275581,58.98633870513124,300,149.52784448070676,300,Standard Application,"N: 308.33 kg/ha, P2O5: 149.53 kg/ha, K2O: 307.33 kg/ha. Notes: Standard Application"
101.52786671982328,19.047617080290344,21.504917454395528,23.565343072751748,85.76498131521974,5.935500073794042,watermelon,97.08223173540054,64.08972195232883,61.943265511526064,70.18600832,18.166203141807287,31.83654934,Standard Application,"N: 70.19 kg/ha, P2O5: 18.17 kg/ha, K2O: 31.84 kg/ha. Notes: Standard Application"
145,48,81,28.76,60.41,6.4,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
30,55,25,25,60.41,6.5,groundnut,30,60,40,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
25,35,25,25,60.41,7.5,jowar,80,40,40,80,40,40,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
55.27860770391116,39.56210694581612,22.63646495402081,29.65846632909877,59.542496212189775,6.9550789,soybean,21.82025109489601,50.94759538,25.66786830821896,31.188244931189946,57.78317976247333,40.71847191418741,Standard Application,"N: 31.19 kg/ha, P2O5: 57.78 kg/ha, K2O: 40.72 kg/ha. Notes: Standard Application"
44.88152282347036,38.60864242779688,41.30440706,29.943336027990817,61.67600630193199,7.402391384201133,soybean,24.72525338536637,46.70893517115172,22.17384593545025,20,58.83377198641072,208.76006254797625,Standard Application,"N: 0.00 kg/ha, P2O5: 58.83 kg/ha, K2O: 208.76 kg/ha. Notes: Standard Application"
40,50,25,30,60.41,6.5,tur,20,40,20,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
10.405987215694148,47.14568131239807,0,34.650591302858345,66.36857805263969,7.345389260880955,gram,22.498688362242728,39.12346412941193,25.228654830820776,20,43.100913252107645,10,Standard Application,"N: 4.18 kg/ha, P2O5: 43.10 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
131.54248318794268,67.15434198001455,62.46658160415886,25.843018798930565,56.67627262813894,7.936482392,cotton,124.79329872896167,58.19477204,61.638856512198885,178.58173157041873,29.71958934406456,145.15383450256277,Standard Application,"N: 178.58 kg/ha, P2O5: 29.72 kg/ha, K2O: 145.15 kg/ha. Notes: Standard Application"
55.75195180628564,67.04304366879163,44.42075569822104,35.103675267468155,92.55114612284822,6.839652581296354,papaya,98.48133637219466,59.84412499684273,60.40210718969912,236.9287356947281,150,300,Standard Application,"N: 236.93 kg/ha, P2O5: 257.39 kg/ha, K2O: 523.68 kg/ha. Notes: Standard Application"
39,64,52,28.91842453,94.63676767,6.678695788,papaya,100,60,60,250,150,300,Standard Application,"N: 250.00 kg/ha, P2O5: 250.00 kg/ha, K2O: 500.00 kg/ha. Notes: Standard Application"
60.98071211621468,51.89859539282857,179.511498,27.82356292,60.55419344262051,5.9153081582277744,spinach,123.94649624622036,54.76361836770673,57.78543473092254,140,60,60,Side-dressing (Heavy feeder),"N: 140.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing (Heavy feeder)"
60,25,40,25,60.41,7,groundnut,30,60,40,20,60,40,Standard Application,"N: 20.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Standard Application"
39,139,201,41.18664903,81.01783402,5.539980812,grapes,100,60,60,60,40,80,Standard Application,"N: 60.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 80.00 kg/ha. Notes: Standard Application"
97,22,50,26.26028739,86.14585891,6.7698938,watermelon,100,60,60,80,40,60,Standard Application,"N: 80.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
