Trial #,Scenario Tested,Soil Moisture,API Simulated Forecast (Ppop),Raindrop Sensor (Rphys),Actual Logged Action,Status
69,Impending Rain (Hard Gate),22%,85%,0,Aborted - Return Home,Success
70,Sudden Downpour (Sensor),50%,40%,1,Aborted - Return Home,Success (Latency 0.9s)
71,Dry Soil + Clear Sky,26%,15%,0,Normal Irrigation,Success
72,Dry Soil + Clear Sky,30%,5%,0,Normal Irrigation,Success
73,Wet Soil + Clear Sky,64%,12%,0,No Irrigation (Moisture OK),Success
74,Cloudy & Humid (Soft Gate),28%,18%,0,Scaled Irrigation (50%),Success
75,Cloudy & Humid (Soft Gate),26%,20%,0,Scaled Irrigation (50%),Success
76,Impending Rain (Hard Gate),28%,90%,0,Aborted - Return Home,Success
77,Sudden Downpour (Sensor),46%,30%,1,Aborted - Return Home,Success
78,Dry Soil + Clear Sky,18%,8%,0,Normal Irrigation,Success
79,Dry Soil + Clear Sky,20%,10%,0,Normal Irrigation,Success
80,Wet Soil + Clear Sky,70%,15%,0,No Irrigation (Moisture OK),Success
81,Cloudy & Humid (Soft Gate),30%,28%,0,Scaled Irrigation (50%),Success
82,Cloudy & Humid (Soft Gate),32%,22%,0,Scaled Irrigation (50%),Success
83,Impending Rain (Hard Gate),29%,78%,0,Aborted - Return Home,Success
84,Sudden Downpour (Sensor),40%,50%,1,Aborted - Return Home,Success
85,Dry Soil + Clear Sky,15%,5%,0,Normal Irrigation,Success
86,Dry Soil + Clear Sky,16%,0%,0,Normal Irrigation,Success
87,Wet Soil + Clear Sky,74%,10%,0,No Irrigation (Moisture OK),Success
88,Cloudy & Humid (Soft Gate),33%,30%,0,Scaled Irrigation (50%),Success
89,Cloudy & Humid (Soft Gate),27%,15%,0,Scaled Irrigation (50%),Success
90,Impending Rain (Hard Gate),32%,82%,0,Aborted - Return Home,Success
91,Sudden Downpour (Sensor),58%,25%,1,Aborted - Return Home,Success
92,API Timeout Fallback,22%,0%,0,Normal Irrigation,Success (Fallback Used)
93,Dry Soil + Clear Sky,24%,12%,0,Normal Irrigation,Success
94,Dry Soil + Clear Sky,26%,18%,0,Normal Irrigation,Success
95,Wet Soil + Clear Sky,62%,8%,0,No Irrigation (Moisture OK),Success
96,Cloudy & Humid (Soft Gate),28%,22%,0,Scaled Irrigation (50%),Success
97,Cloudy & Humid (Soft Gate),25%,35%,0,Scaled Irrigation (50%),Success
98,Impending Rain (Hard Gate),30%,70%,0,Aborted - Return Home,Success
99,Sudden Downpour (Sensor),42%,55%,1,Aborted - Return Home,Success
100,Sudden Downpour (Sensor),45%,60%,1,Aborted - Return Home,Success (Latency 1.5s)
